code,Bacteria_total,Microbial,AMF_PLFA,Actinobacteria_total,Fungi_total,Total_PLFA,AMF_NLFA,site,location,landuse
VB105,10.26007922,4.736691834,0.859652441,1.603675091,0.747464012,16.39396437,1.815656203,R,Sint-Truiden,Grassland
VB106,9.420764695,4.442429563,0.782132452,1.345626468,0.686952312,15.13433192,1.618244962,R,Sint-Truiden,Grassland
VB107,8.250158316,4.590725544,0.616545696,1.265960548,0.485069069,13.73133919,0.941197304,R,Sint-Truiden,Grassland
VB108,10.26612798,5.459296459,0.728076107,1.527515567,0.887794086,17.09831941,2.776445677,R,Sint-Truiden,Grassland
VB109,11.72905204,5.17494606,1.210863065,1.765295551,1.153306999,18.91627474,1.00461456,S,Sint-Truiden,Arable_field
VB110,10.91599469,4.268981374,1.051107068,1.737717331,0.921348814,16.87118132,0.70094797,S,Sint-Truiden,Arable_field
VB111,11.72422524,5.175835858,1.071067776,1.857509209,1.419164804,19.00649439,1.021343487,S,Sint-Truiden,Arable_field
VB112,12.34906895,5.407691924,1.271976329,1.941663979,1.285599525,19.90205579,0.99926668,S,Sint-Truiden,Arable_field
VB113,10.27065278,4.353092315,1.022549288,1.686238612,1.053999936,16.39707781,1.018933429,S,Sint-Truiden,Arable_field
VB114,10.58645245,4.96735691,0.905935812,1.73828823,1.048324458,17.13441889,0.896936049,S,Sint-Truiden,Arable_field
VB115,14.32776438,5.331146898,1.625666388,2.022957914,0.98691146,21.89525546,9.416758871,T,Amsterdam,Grassland
VB116,18.24479514,6.790291296,2.426894605,2.230267572,1.559698889,28.55243852,7.79320402,T,Amsterdam,Grassland
VB117,15.71667501,6.162060942,2.074312501,1.825545314,0.979285938,24.57083283,11.1012104,T,Amsterdam,Grassland
VB118,19.08252683,7.570955038,2.322678889,2.78047994,2.236891301,30.74963874,10.37379433,T,Amsterdam,Grassland
VB119,13.26912151,4.847783489,1.656231909,1.677491204,0.808517542,20.26342938,6.179084756,T,Amsterdam,Grassland
VB120,13.62301821,5.095683455,1.820076668,1.846637436,0.922322689,21.12444328,7.374602395,T,Amsterdam,Grassland
VB121,11.26242176,4.138751874,1.388613962,1.498980678,0.9561771,17.47305791,2.65140955,U,Amsterdam,Food_forest
VB122,9.62890664,3.831452821,1.19335996,1.257746713,1.029306041,15.43518056,4.367940441,U,Amsterdam,Food_forest
VB123,6.927965481,2.872986856,0.966050963,0.911659859,1.132471508,11.71357088,7.80784797,U,Amsterdam,Food_forest
VB124,10.63851861,5.148999995,1.534125999,1.328022623,2.093293419,19.11205567,7.344270893,U,Amsterdam,Food_forest
VB125,12.45580309,5.140352064,1.579517321,1.676803566,1.789908712,20.62626575,9.586058171,U,Amsterdam,Food_forest
VB126,10.92122475,4.5146133,1.270352066,1.385905103,1.730370171,18.13963287,4.166902658,U,Amsterdam,Food_forest
VB127,15.65906751,9.005910678,1.909891792,2.46445263,4.88721487,30.98382529,4.579991497,V,Amsterdam,Forest
VB128,12.54026688,5.1436494,1.384137307,2.161377056,1.971347074,20.72182803,4.267837386,V,Amsterdam,Forest
VB129,11.49225371,4.676778763,1.326250694,1.796878992,2.010604687,19.22883602,2.985438587,V,Amsterdam,Forest
VB130,9.98830564,4.772468157,1.306042003,1.113514195,2.448250247,18.24756347,4.03951649,V,Amsterdam,Forest
VB131,9.086392392,4.20596145,1.149376853,1.260525383,2.084876987,16.26389297,3.47684642,V,Amsterdam,Forest
VB132,10.60964912,6.400877193,1.5,1.309649122,4.465789474,22.70877193,7.123157477,V,Amsterdam,Forest
VB133,6.278310074,3.043831858,0.269694848,1.251756089,0.492890585,9.906170776,0.080957875,W,Swalmen,Forest
VB134,6.618945346,3.134383484,0.305893522,1.076778,0.668373244,10.55783699,0.356192254,W,Swalmen,Forest
VB135,5.344231336,2.40616199,0.212942641,0.98384891,0.405219962,8.244564012,0.119628863,W,Swalmen,Forest
VB136,11.0965985,4.10047854,0.330235216,2.406893303,1.043543284,16.3289148,0.2521906,W,Swalmen,Forest
VB137,8.120089562,3.847488624,0.289579991,1.338289114,0.835412352,12.90223279,0.117210386,W,Swalmen,Forest
VB138,7.021806266,3.108084779,0.308900777,1.372077087,1.027957218,11.29212105,0.104879925,W,Swalmen,Forest
VB139,6.296432242,4.313936167,0.419968016,1.076682707,0.522901354,11.35766444,1.132332773,X,Swalmen,Grassland
VB140,6.641984223,4.374192897,0.417491822,1.165340148,0.610704915,11.85646465,1.252817445,X,Swalmen,Grassland
VB141,6.814507505,4.217219564,0.369061415,1.229718469,0.447104046,11.65825623,0.775867623,X,Swalmen,Grassland
