code,site,location,landuse,soiltexture,bulkdensity,pH_KCl,C_total,N_total,NH4,NO3,P_total,P_Olsen,P_Ox,K,Mg,Ca,Na,Al,Fe
VB086,O,Groesbeek,Food_forest,loam,1.21,4.7,2.277,0.185,11.271,2.815,593,44.8,203.7,255.4,57.7,929,7.0,<bg,<bg
VB087,O,Groesbeek,Food_forest,loam,1.27,5.0,2.125,0.191,3.871,4.764,648,35.6,269.4,289.4,125.5,2027,5.2,<bg,<bg
VB088,O,Groesbeek,Food_forest,loam,1.25,5.2,2.774,0.198,16.176,5.923,955,56.1,316.6,343.5,91.7,1649,13.5,<bg,2.8
VB089,O,Groesbeek,Food_forest,loam,1.13,5.1,1.682,0.15,8.752,7.767,622,27.8,229.0,235.9,90.4,1556,4.7,<bg,<bg
VB090,O,Groesbeek,Food_forest,loam,1.14,4.8,1.979,0.174,24.556,4.217,652,35.3,296.2,178.9,90.3,1506,7.0,<bg,2.9
VB091,P,Sint-Truiden,Food_forest,loam,1.28,5.4,2.205,0.18,6.400,10.786,783,51.4,367.5,442.7,136.2,1591,5.3,<bg,<bg
VB092,P,Sint-Truiden,Food_forest,loam,1.22,5.8,1.993,0.204,4.999,19.145,605,32.5,275.3,228.1,156.6,1993,6.3,<bg,<bg
VB093,P,Sint-Truiden,Food_forest,loam,1.32,4.7,1.787,0.156,7.496,7.296,765,62.0,393.8,366.7,116.1,1145,4.5,<bg,<bg
VB094,P,Sint-Truiden,Food_forest,loam,1.32,5.9,2.638,0.201,5.938,5.729,724,49.1,349.3,343.3,276.6,3292,9.6,<bg,<bg
VB095,P,Sint-Truiden,Food_forest,loam,1.36,5.1,1.666,0.158,5.170,6.728,529,21.4,205.0,172.7,165.6,1589,6.6,<bg,<bg
VB096,P,Sint-Truiden,Food_forest,loam,1.18,5.4,2.191,0.186,7.895,5.343,781,47.1,345.6,330.8,127.7,1589,4.7,<bg,<bg
VB097,Q,Sint-Truiden,Forest,loam,0.86,3.3,3.169,0.174,18.703,0.698,203,15.8,22.9,151.2,69.7,250,5.9,266,74.1
VB098,Q,Sint-Truiden,Forest,loam,0.95,3.1,3.432,0.183,15.345,0.747,168,20.6,24.0,66.3,33.0,212,6.5,166,79.6
VB099,Q,Sint-Truiden,Forest,loam,1.01,3.0,6.279,0.299,14.937,NA,192,20.7,22.0,88.7,44.1,327,9.0,217,127.8
VB100,Q,Sint-Truiden,Forest,loam,1.17,3.1,4.051,0.206,18.477,0.314,163,16.9,18.2,72.6,30.9,161,5.5,236,96.6
VB101,Q,Sint-Truiden,Forest,loam,0.83,3.3,3.347,0.194,21.111,1.232,171,14.9,17.5,56.5,32.4,238,4.9,204,67
VB102,Q,Sint-Truiden,Forest,loam,0.94,3.1,3.246,0.19,16.147,NA,130,9.5,10.7,114.7,32.1,132,7.2,482,94.8
VB103,R,Sint-Truiden,Grassland,loam,1.35,4.3,1.296,0.136,7.658,1.250,427,17.2,131.1,73.5,95.7,822,7.5,<bg,<bg
VB104,R,Sint-Truiden,Grassland,loam,1.35,4.2,1.273,0.144,8.008,3.048,403,16.9,133.8,81.2,89.8,820,6.3,<bg,<bg
VB105,R,Sint-Truiden,Grassland,loam,1.57,4.4,1.123,0.13,9.961,1.587,501,35.6,220.7,53.6,48.3,579,6.1,<bg,<bg
VB106,R,Sint-Truiden,Grassland,loam,1.46,4.4,1.042,0.102,8.944,1.043,611,44.0,248.8,42.4,36.0,441,6.5,<bg,<bg
VB107,R,Sint-Truiden,Grassland,loam,1.19,4.4,1.005,0.114,9.190,0.665,602,54.0,303.0,43.8,33.8,428,5.7,<bg,<bg
VB108,R,Sint-Truiden,Grassland,loam,1.42,4.2,1.151,0.116,18.203,0.114,486,45.4,218.7,50.9,39.9,307,5.7,<bg,<bg
VB109,S,Sint-Truiden,Arable_field,loam,1.32,6.2,1.756,0.164,12.952,11.451,663,64.4,362.9,370.5,139.2,1672,9.7,<bg,<bg
VB110,S,Sint-Truiden,Arable_field,loam,1.50,5.9,1.567,0.154,5.351,4.020,694,48.6,330.0,267.0,110.7,1423,9.9,<bg,<bg
VB111,S,Sint-Truiden,Arable_field,loam,1.45,5.8,1.587,0.159,4.624,5.881,654,52.4,310.3,368.8,136.4,1566,10.8,<bg,<bg
VB112,S,Sint-Truiden,Arable_field,loam,1.43,5.8,1.601,0.163,5.282,5.432,710,52.5,351.4,287.7,128.9,1633,10.6,<bg,<bg
VB113,S,Sint-Truiden,Arable_field,loam,1.52,5.7,1.372,0.136,4.634,3.837,647,51.9,319.8,279.6,113.6,1540,7.3,<bg,<bg
VB114,S,Sint-Truiden,Arable_field,loam,1.48,5.4,1.552,0.16,6.889,3.772,752,53.8,369.3,262.3,113.4,1412,11.2,<bg,<bg
